INFO: Listening on port 8080
INFO: Serving static files from /app/public
INFO: Starting up Iodine:
 * Iodine 5.2.1
 * Ruby 4.0.5
 * facil.io 0.7.4 (epoll)
 * 127 Workers X 1 Threads per worker.
 * Maximum 131056 open files / sockets per worker.
 * Master (root) process: 1.

INFO: Server is running 127 workers X 1 thread with facil.io 0.7.4 (epoll)
* Linked to OpenSSL 3.5.6 7 Apr 2026
* Detected capacity: 131056 open file limit
* Root pid: 1
* Press ^C to stop

INFO: 10 is running.
INFO: 14 is running.
INFO: 18 is running.
INFO: 22 is running.
INFO: 26 is running.
INFO: 31 is running.
INFO: 36 is running.
INFO: 40 is running.
INFO: 45 is running.
INFO: 51 is running.
INFO: 56 is running.
INFO: 62 is running.
INFO: 66 is running.
INFO: 71 is running.
INFO: 77 is running.
INFO: 82 is running.
INFO: 87 is running.
INFO: 92 is running.
INFO: 97 is running.
INFO: 102 is running.
INFO: 106 is running.
INFO: 111 is running.
INFO: 116 is running.
INFO: 121 is running.
INFO: 126 is running.
INFO: 131 is running.
INFO: 136 is running.
INFO: 142 is running.
INFO: 146 is running.
INFO: 152 is running.
INFO: 157 is running.
INFO: 162 is running.
INFO: 167 is running.
INFO: 172 is running.
INFO: 177 is running.
INFO: 181 is running.
INFO: 186 is running.
INFO: 191 is running.
INFO: 196 is running.
INFO: 201 is running.
INFO: 210 is running.
INFO: 214 is running.
INFO: 218 is running.
INFO: 222 is running.
INFO: 227 is running.
INFO: 232 is running.
INFO: 237 is running.
INFO: 242 is running.
INFO: 247 is running.
INFO: 252 is running.
INFO: 258 is running.
INFO: 262 is running.
INFO: 267 is running.
INFO: 272 is running.
INFO: 277 is running.
INFO: 282 is running.
INFO: 287 is running.
INFO: 295 is running.
INFO: 299 is running.
INFO: 303 is running.
INFO: 307 is running.
INFO: 312 is running.
INFO: 317 is running.
INFO: 322 is running.
INFO: 328 is running.
INFO: 333 is running.
INFO: 338 is running.
INFO: 342 is running.
INFO: 347 is running.
INFO: 352 is running.
INFO: 358 is running.
INFO: 363 is running.
INFO: 368 is running.
INFO: 373 is running.
INFO: 378 is running.
INFO: 383 is running.
INFO: 388 is running.
INFO: 393 is running.
INFO: 398 is running.
INFO: 403 is running.
INFO: 408 is running.
INFO: 413 is running.
INFO: 418 is running.
INFO: 423 is running.
INFO: 428 is running.
INFO: 433 is running.
INFO: 438 is running.
INFO: 443 is running.
INFO: 448 is running.
INFO: 453 is running.
INFO: 457 is running.
INFO: 463 is running.
INFO: 468 is running.
INFO: 473 is running.
INFO: 477 is running.
INFO: 483 is running.
INFO: 488 is running.
INFO: 493 is running.
INFO: 498 is running.
INFO: 503 is running.
INFO: 508 is running.
INFO: 513 is running.
INFO: 518 is running.
INFO: 523 is running.
INFO: 530 is running.
INFO: 534 is running.
INFO: 538 is running.
INFO: 543 is running.
INFO: 548 is running.
INFO: 553 is running.
INFO: 558 is running.
INFO: 563 is running.
INFO: 568 is running.
INFO: 573 is running.
INFO: 578 is running.
INFO: 583 is running.
INFO: 589 is running.
INFO: 593 is running.
INFO: 598 is running.
INFO: 604 is running.
INFO: 610 is running.
INFO: 614 is running.
INFO: 618 is running.
INFO: 623 is running.
INFO: 628 is running.
INFO: 633 is running.
INFO: 639 is running.
